kind,model,dim,param,seed_tag,n,alpha,intercept,alpha_lo,alpha_hi,R2,kendall_tau,spearman_rho,slope_theil_sen,grid_label,size_label
unitary,pswap,d=2,kappa=0.40,0x42295ab9,600,0.5405535866954413,-1.0470781387084662,0.5128710417725558,0.5662521175862848,0.8371134029850587,0.7626377295492488,0.9156520990336084,0.573611066115826,kappa=0.40,"nS=1,nE=3"
unitary,pswap,d=2,kappa=0.60,0xcdb8117b,600,0.536115263788591,-0.9805644725163768,0.5028159363316332,0.5674421383372479,0.8187452575561788,0.7560823594880356,0.9161503781954949,0.5882869615303157,kappa=0.60,"nS=1,nE=3"
unitary,pswap,d=2,kappa=0.80,0x184bdd19,600,0.5336187465490031,-0.9190281494974081,0.49224074482518565,0.5772955617412726,0.7882019399247328,0.7456649972175848,0.9096686935241485,0.6072706906996514,kappa=0.80,"nS=1,nE=3"
unitary,pswap,d=2,kappa=0.40,0xe6885e60,600,0.30633675505638736,-1.2561339318699098,0.2728170315653618,0.34412842422637785,0.5118037105311162,0.5231051752921535,0.704154011538921,0.3479891172747982,kappa=0.40,"nS=2,nE=2"
unitary,pswap,d=2,kappa=0.60,0x628be5ed,600,0.36814126002353026,-1.0493804530016098,0.3384523620635787,0.4019242043842509,0.5886002415593288,0.5657762938230384,0.7559409331692588,0.3774126216294382,kappa=0.60,"nS=2,nE=2"
unitary,pswap,d=2,kappa=0.80,0xca84b1cc,600,0.39034457148703905,-0.9200820422774636,0.36362518042689823,0.4166988932551141,0.6855013833508535,0.626677796327212,0.8169192692201923,0.401353833766229,kappa=0.80,"nS=2,nE=2"
unitary,pswap,d=2,kappa=0.40,0x7bcbedee,600,0.37117893671969815,-1.1573692465777288,0.35056558232217194,0.39028698580127597,0.9511874039405774,0.9406677796327211,0.994395539987611,0.33584708140938735,kappa=0.40,"nS=3,nE=1"
unitary,pswap,d=2,kappa=0.60,0x59cd3ef6,600,0.40627222667455337,-0.9898628069152134,0.3916565790168602,0.42119854229993897,0.9605413660125953,0.9472342793544796,0.9958555440431779,0.37517334178750683,kappa=0.60,"nS=3,nE=1"
unitary,pswap,d=2,kappa=0.80,0xbb5bb208,600,0.4476335526328521,-0.8586022894237226,0.4300100493928158,0.46461941932681916,0.9631775364973836,0.9512298274902615,0.9960031555643208,0.4200868628659439,kappa=0.80,"nS=3,nE=1"
unitary,pswap,d=2,kappa=0.40,0xd3bba61b,600,0.47684797131609974,-1.1217187405761344,0.44694167588644723,0.5088043541140026,0.7477977202247252,0.6974513077351141,0.8667984077733548,0.5200654478612242,kappa=0.40,"nS=2,nE=3"
unitary,pswap,d=2,kappa=0.60,0x9a51df70,600,0.4893729239669529,-1.0177621990870598,0.46164756060573925,0.5178275498583945,0.7730009225729094,0.6991318864774624,0.874110594751652,0.5209591009907677,kappa=0.60,"nS=2,nE=3"
unitary,pswap,d=2,kappa=0.80,0x9ada8213,600,0.5232052503650721,-0.922427457106866,0.49727174415753944,0.549736829135995,0.7863324438379881,0.7036505286588759,0.8784787179964388,0.5519492758630415,kappa=0.80,"nS=2,nE=3"
unitary,pswap,d=2,kappa=0.40,0x377f91a3,600,0.31832523017706577,-1.2473819444136327,0.2843542680754328,0.3525214564252643,0.41666089808963924,0.43176405119643846,0.6056742379839943,0.32515344883279057,kappa=0.40,"nS=3,nE=2"
unitary,pswap,d=2,kappa=0.60,0xc2a44eab,600,0.3641500255382021,-1.057261836937856,0.335554603956098,0.3935179372981068,0.47548049662411607,0.46080133555926545,0.6374539929277581,0.3668865147149447,kappa=0.60,"nS=3,nE=2"
unitary,pswap,d=2,kappa=0.80,0xf1786014,600,0.375370756283956,-0.9430328563406102,0.3472013576826726,0.40179588525412413,0.5563242648044063,0.5091930996104619,0.6957755993766648,0.37794598973031146,kappa=0.80,"nS=3,nE=2"
unitary,pswap,d=2,kappa=0.40,0x7f367462,600,0.5741616204809831,-1.0483810821926045,0.5485737416769026,0.5979002217790933,0.8537267396805338,0.7609126321647189,0.9186440517890326,0.593678434360954,kappa=0.40,"nS=2,nE=4"
unitary,pswap,d=2,kappa=0.60,0x84b56264,600,0.6055882840469065,-0.9705771377633235,0.5846084068966422,0.6259969361027242,0.8925752051387362,0.813355592654424,0.9529630360084331,0.6220329810762508,kappa=0.60,"nS=2,nE=4"
unitary,pswap,d=2,kappa=0.80,0x648bbdf3,600,0.6630925352771461,-0.9012131262341359,0.6448167827082241,0.6814800480305638,0.9084076932160894,0.8093823038397329,0.948286689685249,0.6678714062513182,kappa=0.80,"nS=2,nE=4"
unitary,pswap,d=2,kappa=0.40,0x4651b223,600,0.48953410710216766,-1.1022724477953827,0.44987187804197304,0.5273804206865547,0.580136650356507,0.5799888703394547,0.7629840638446217,0.5175990407267523,kappa=0.40,"nS=3,nE=3"
unitary,pswap,d=2,kappa=0.60,0xfe4bc937,600,0.5273502566075967,-0.9914948954020762,0.49052755118179975,0.5631951898635682,0.6508008651588155,0.6100946021146355,0.7919098664162956,0.5621029658790626,kappa=0.60,"nS=3,nE=3"
unitary,pswap,d=2,kappa=0.80,0x0c4ca5a8,600,0.5145173923889851,-0.9187686798626961,0.4840930117574708,0.5465511291369277,0.6557625084688705,0.6104841402337228,0.8015188931080364,0.5357552977447178,kappa=0.80,"nS=3,nE=3"
